state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
Alabama,Horseshoe Bend NMP,"64,063",-11.91%,"15,074",-15.03%,0,,"180,897",-15.03%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Little River Canyon NPRES,"763,209",8.93%,"153,069",5.40%,0,,"1,836,829",5.40%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Natchez Trace PKWY,"515,538",8.55%,"173,325",8.52%,"657,693",0.00%,"2,079,900",8.52%,"657,693",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Russell Cave NM,"9,261",6.72%,860,-1.71%,0,,"10,324",-1.75%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Tuskegee Airmen NHS,"28,474",28.95%,"3,559",28.95%,0,,"42,711",28.95%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Tuskegee Institute NHS,"10,037",21.97%,439,-8.73%,0,,"5,279",-8.65%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Alagnak Wild River,278,20.35%,795,123.31%,109,21.11%,"9,546",123.19%,"3,826",233.28%,0,,0,,0,,0,,380,185.71%,157,,0,460.71%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Aniakchak NM & PRES,191,-4.02%,771,25.98%,63,-43.75%,"9,257",25.89%,"9,661",-33.30%,0,,0,,0,,0,,396,32.89%,461,,0,-32.70%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,126",-0.18%,"34,878",0.00%,"20,624",0.16%,0,,0,,0,,0,,"1,123",0.00%,484,,0,0.41%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Cape Krusenstern NM,"17,736",-0.47%,"16,105",-1.52%,"7,297",-6.75%,"193,262",-1.53%,"195,800",-5.23%,0,,0,,0,,0,,"5,972",-1.70%,"5,726",,0,-4.57%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
