state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"48,491","9,422","1,080,115","113,067","360,003",0,0,0,0,0,0,0,2018
Alabama,Little River Canyon NPRES,"441,177","105,578",0,"1,266,940",0,0,0,0,0,0,0,0,2018
Alabama,Natchez Trace PKWY,"445,372","149,455","628,087","1,793,468","628,087",0,0,0,0,0,0,0,2018
Alabama,Russell Cave NM,"21,620","2,999",0,"35,991",0,0,0,0,0,0,0,0,2018
Alabama,Tuskegee Airmen NHS,"26,829","3,353",0,"40,243",0,0,0,0,0,0,0,0,2018
Alabama,Tuskegee Institute NHS,"37,486","6,121",0,"73,453",0,0,0,0,0,0,0,0,2018
Alaska,Aniakchak NM & PRES,100,470,0,"5,640",0,0,0,0,0,235,0,0,2018
Alaska,Bering Land Bridge NPRES,"2,642",660,"1,128","7,926","9,024",0,0,0,0,"1,123",360,0,2018
Alaska,Cape Krusenstern NM,"15,087","3,457","7,700","41,487","61,600",0,0,0,0,"6,300","4,250",0,2018
Alaska,Denali NP & PRES,"594,660","545,547","784,032","6,546,571","196,008",0,"27,587",0,0,"23,748",0,0,2018
Alaska,Gates of the Arctic NP & PRES,"9,591","15,479",0,"185,752",0,0,0,0,0,"7,561",0,0,2018
Alaska,Glacier Bay NP & PRES,"597,915","641,941",644,"7,703,301","95,060","12,475",0,783,0,"5,840","3,845","17,668",2018
Alaska,Katmai NP & PRES,"37,818","19,440",0,"233,289",0,"4,216",0,"2,098",0,483,0,0,2018
Alaska,Kenai Fjords NP,"321,596","92,001",0,"1,104,023",0,0,0,"1,080",0,676,0,0,2018
Alaska,Klondike Gold Rush NHP Alaska,"1,017,298","348,196",0,"4,178,362",0,0,0,"1,315",0,"5,508",0,0,2018
Alaska,Kobuk Valley NP,"14,937","4,507","7,750","54,087","62,000",0,0,0,0,"7,050","5,350",0,2018
Alaska,Lake Clark NP & PRES,"14,479","15,609",0,"187,314",0,0,0,0,0,"7,198",0,0,2018
Alaska,Noatak NPRES,"16,387","19,490","8,450","233,887","67,600",0,0,0,0,"5,600","4,750",0,2018
Alaska,Sitka NHP,"197,017","10,029",0,"120,357",0,0,0,0,0,0,0,0,2018
Alaska,Wrangell-St. Elias NP & PRES,"79,450","304,557",0,"3,654,688",0,0,0,0,0,0,0,0,2018
Alaska,Yukon-Charley Rivers NPRES,"1,272","7,438",0,"89,256",0,0,0,0,0,"3,613",800,0,2018
American Samoa,National Park of American Samoa,"28,626","4,771",0,"57,252",0,0,0,0,0,0,0,0,2018
Arizona,Canyon de Chelly NM,"439,306","247,533","634,575","2,970,397","1,269,151","15,665","12,190",0,0,25,0,0,2018
Arizona,Casa Grande Ruins NM,"62,995","7,150","2,160","85,803",216,0,0,0,0,0,0,0,2018
Arizona,Chiricahua NM,"60,577","27,286","3,600","327,442","1,200",0,0,"5,793","6,604",0,0,"1,546",2018
Arizona,Coronado NMEM,"103,218","9,793","2,508","117,521","1,248",0,0,0,0,0,0,0,2018
Arizona,Fort Bowie NHS,"8,401","1,400",0,"16,802",0,0,0,0,0,0,0,0,2018
Arizona,Glen Canyon NRA,"865,713","432,526","27,600","5,190,313","331,184","63,000","79,007","10,542","4,769",0,0,"513,515",2018
Arizona,Grand Canyon NP,"6,380,495","8,375,563","23,748","100,506,766","23,748","663,982","38,829","139,004","68,000","337,790",0,"27,947",2018
Arizona,Hubbell Trading Post NHS,"39,361","1,694","4,584","20,334","1,056",0,0,0,0,0,0,0,2018
Arizona,Lake Mead NRA,"1,894,740","1,203,111","51,923","14,437,334","311,541","2,000","15,484","46,118","58,696","87,870",0,"18,564",2018
Arizona,Montezuma Castle NM,"390,151","32,512",0,"390,151",0,0,0,0,0,0,0,0,2018
Arizona,Navajo NM,"61,195","14,457","8,515","173,489","2,131",0,0,"2,297","1,872",352,0,121,2018
Arizona,Organ Pipe Cactus NM,"260,375","64,603","1,184,470","775,240","592,233",0,0,"8,575","22,668",185,0,"1,354",2018
Arizona,Petrified Forest NP,"644,922","143,773",120,"1,725,278",120,0,0,0,0,"1,166",0,0,2018
Arizona,Pipe Spring NM,"25,179","3,147",404,"37,770",900,0,0,0,0,0,0,0,2018
Arizona,Saguaro NP,"957,405","84,629","2,089,346","1,015,552","522,336",0,0,0,0,"2,058",0,0,2018
Arizona,Sunset Crater Volcano NM,"104,583","10,894","12,000","130,730","3,996",0,0,0,0,0,0,0,2018
Arizona,Tonto NM,"39,822","5,915",0,"70,983",0,0,0,0,0,0,0,0,2018
Arizona,Tumacacori NHP,"40,810","5,135",0,"61,621",0,0,0,0,0,0,0,126,2018
